split,year,team_name,wins,losses,num_games,win_percentage
All Games,2009,Air Force,8,5,13,0.6153846153846154
at Home,2009,Air Force,5,1,6,0.8333333333333334
on Road/Neutral Site,2009,Air Force,3,4,7,0.42857142857142855
vs. Conference,2009,Air Force,5,3,8,0.625
vs. Non-Conference,2009,Air Force,3,2,5,0.6
vs. Ranked (AP),2009,Air Force,0,3,3,0.0
vs. Unranked (AP),2009,Air Force,8,2,10,0.8
vs. FBS (I-A),2009,Air Force,7,5,12,0.5833333333333334
vs. FCS (I-AA),2009,Air Force,1,0,1,1.0
vs. FBS Winning,2009,Air Force,2,4,6,0.3333333333333333
vs. FBS Non-Winning,2009,Air Force,5,1,6,0.8333333333333334
vs. BCS AQ,2009,Air Force,0,1,1,0.0
vs. BCS non-AQ,2009,Air Force,7,4,11,0.6363636363636364
vs. FBS Power 5,2009,Air Force,0,1,1,0.0
vs. FBS non-Power 5,2009,Air Force,7,4,11,0.6363636363636364
in August/September,2009,Air Force,3,1,4,0.75
in October,2009,Air Force,2,3,5,0.4
in November,2009,Air Force,2,1,3,0.6666666666666666
in December/January,2009,Air Force,1,0,1,1.0
All Games,2010,Air Force,9,4,13,0.6923076923076923
at Home,2010,Air Force,5,1,6,0.8333333333333334
on Road/Neutral Site,2010,Air Force,4,3,7,0.5714285714285714
vs. Conference,2010,Air Force,5,3,8,0.625
vs. Non-Conference,2010,Air Force,4,1,5,0.8
vs. Ranked (AP),2010,Air Force,0,2,2,0.0
vs. Unranked (AP),2010,Air Force,9,2,11,0.8181818181818182
vs. FBS (I-A),2010,Air Force,8,4,12,0.6666666666666666
vs. FCS (I-AA),2010,Air Force,1,0,1,1.0
vs. FBS Winning,2010,Air Force,3,4,7,0.42857142857142855
vs. FBS Non-Winning,2010,Air Force,5,0,5,1.0
vs. BCS AQ,2010,Air Force,1,1,2,0.5
vs. BCS non-AQ,2010,Air Force,7,3,10,0.7
vs. FBS Power 5,2010,Air Force,1,1,2,0.5
vs. FBS non-Power 5,2010,Air Force,7,3,10,0.7
in August/September,2010,Air Force,3,1,4,0.75
in October,2010,Air Force,2,3,5,0.4
in November,2010,Air Force,3,0,3,1.0
