date,opponent,attendance,home_away,win_lose,points_scored,opponent_points_scored,game_duration,game_duration_seconds,year,team_name
2009-09-05,Nicholls St.,42205,home,W,72,0,02:54:00,10440.0,2009,Air Force
2009-09-12,Minnesota,50805,home,L,13,20,03:04:00,11040.0,2009,Air Force
2009-09-19,New Mexico,26246,home,W,37,13,03:01:00,10860.0,2009,Air Force
2009-09-26,San Diego St.,35929,home,W,26,14,02:58:00,10680.0,2009,Air Force
2009-10-03,Navy,37820,home,L,13,16,03:10:00,11400.0,2009,Air Force
2009-10-10,6  TCU,30104,home,L,17,20,03:11:00,11460.0,2009,Air Force
2009-10-17,Wyoming,34117,home,W,10,0,02:43:00,9780.0,2009,Air Force
2009-10-24,18  Utah,45129,home,L,16,23,03:06:00,11160.0,2009,Air Force
2009-10-31,Colorado St.,22025,home,W,34,16,02:44:00,9840.0,2009,Air Force
2009-11-07,Army,46212,home,W,35,7,02:52:00,10320.0,2009,Air Force
2009-11-14,UNLV,25370,home,W,45,17,02:56:00,10560.0,2009,Air Force
2009-11-21,12  Brigham Young,64071,home,L,21,38,03:12:00,11520.0,2009,Air Force
2009-12-31,+  Houston,41414,home,W,47,20,03:16:00,11760.0,2009,Air Force
2010-09-04,Northwestern St.,40236,home,W,65,21,03:43:00,13380.0,2010,Air Force
2010-09-11,Brigham Young,46692,home,W,35,14,03:02:00,10920.0,2010,Air Force
2010-09-18,6  Oklahoma,84332,home,L,24,27,03:16:00,11760.0,2010,Air Force
2010-09-25,Wyoming,22413,home,W,20,14,02:50:00,10200.0,2010,Air Force
2010-10-02,Navy,47565,home,W,14,6,02:44:00,9840.0,2010,Air Force
2010-10-09,Colorado St.,41547,home,W,49,27,02:54:00,10440.0,2010,Air Force
2010-10-16,San Diego St.,28178,home,L,25,27,03:41:00,13260.0,2010,Air Force
2010-10-23,2  TCU,46096,home,L,7,38,02:53:00,10380.0,2010,Air Force
2010-10-30,Utah,37211,home,L,23,28,03:12:00,11520.0,2010,Air Force
2010-11-06,Army,38128,home,W,42,22,03:10:00,11400.0,2010,Air Force
2010-11-13,New Mexico,27309,home,W,48,23,03:08:00,11280.0,2010,Air Force
2010-11-18,UNLV,13790,home,W,35,20,03:00:00,10800.0,2010,Air Force
2010-12-27,+  Georgia Tech,39362,home,W,14,7,03:00:00,10800.0,2010,Air Force
2011-09-03,South Dakota,39105,home,W,37,20,02:58:00,10680.0,2011,Air Force
2011-09-10,14  TCU,42107,home,L,19,35,03:07:00,11220.0,2011,Air Force
2011-09-24,Tennessee St.,33487,home,W,63,24,03:14:00,11640.0,2011,Air Force
2011-10-01,Navy,37506,home,W,35,34,03:32:00,12720.0,2011,Air Force
2011-10-08,Notre Dame,80795,home,L,33,59,03:23:00,12180.0,2011,Air Force
2011-10-13,San Diego St.,27490,home,L,27,41,03:11:00,11460.0,2011,Air Force
2011-10-22,8  Boise St.,34196,home,L,26,37,03:08:00,11280.0,2011,Air Force
2011-10-29,New Mexico,16691,home,W,42,0,02:45:00,9900.0,2011,Air Force
2011-11-05,Army,46709,home,W,24,14,03:13:00,11580.0,2011,Air Force
2011-11-12,Wyoming,33823,home,L,17,25,03:14:00,11640.0,2011,Air Force
2011-11-19,UNLV,24401,home,W,45,17,03:01:00,10860.0,2011,Air Force
2011-11-26,Colorado St.,14107,home,W,45,21,02:53:00,10380.0,2011,Air Force
2011-12-28,+  Toledo,25042,home,L,41,42,03:25:00,12300.0,2011,Air Force
2012-09-01,Idaho St.,35282,home,W,49,21,02:48:00,10080.0,2012,Air Force
