year,team_name,scoring_points_per_game,first_downs_total,rushing_yardsperattempt,passing_rating,passing_yards,total_offense_yardsperplay,punt_returns_yardsperreturn,kickoff_returns_yardsperreturn,punting_yardsperpunt,time_of_possessionpergame,third_down_conversions_conversion_perc,fourth_down_conversions_conversion_perc,red_zone_success_perc,field_goals_success_perc,pat_kicking_success_perc,two_point_conversions_success_perc,scoring_games,scoring_points,first_downs_rushing,first_downs_passing,first_downs_by_penalty,rushing_attempts,rushing_yards,rushing_td,passing_attempts,passing_completions,passing_interceptions,passing_td,total_offense_plays,total_offense_yards,punt_returns_returns,punt_returns_yards,punt_returns_td,kickoff_returns_returns,kickoff_returns_yards,kickoff_returns_td,punting_punts,punting_yards,interceptions_returns,interceptions_yards,interceptions_td,fumbles_number,fumbles_lost,penalties_number,penalties_yards,third_down_conversions_attempts,third_down_conversions_conversions,fourth_down_conversions_attempts,fourth_down_conversions_conversions,red_zone_attempts,red_zone_scores,field_goals_attempts,field_goals_made,pat_kicking_attempts,pat_kicking_made,two_point_conversions_attempts,two_point_conversions_made,opponent_scoring_points_per_game,opponent_first_downs_total,opponent_rushing_yardsperattempt,opponent_passing_rating,opponent_passing_yards,opponent_total_offense_yardsperplay,opponent_punt_returns_yardsperreturn,opponent_kickoff_returns_yardsperreturn,opponent_punting_yardsperpunt,opponent_time_of_possessionpergame,opponent_third_down_conversions_conversion_perc,opponent_fourth_down_conversions_conversion_perc,opponent_red_zone_success_perc,opponent_field_goals_success_perc,opponent_pat_kicking_success_perc,opponent_two_point_conversions_success_perc,opponent_scoring_games,opponent_scoring_points,opponent_first_downs_rushing,opponent_first_downs_passing,opponent_first_downs_by_penalty,opponent_rushing_attempts,opponent_rushing_yards,opponent_rushing_td,opponent_passing_attempts,opponent_passing_completions,opponent_passing_interceptions,opponent_passing_td,opponent_total_offense_plays,opponent_total_offense_yards,opponent_punt_returns_returns,opponent_punt_returns_yards,opponent_punt_returns_td,opponent_kickoff_returns_returns,opponent_kickoff_returns_yards,opponent_kickoff_returns_td,opponent_punting_punts,opponent_punting_yards,opponent_interceptions_returns,opponent_interceptions_yards,opponent_interceptions_td,opponent_fumbles_number,opponent_fumbles_lost,opponent_penalties_number,opponent_penalties_yards,opponent_third_down_conversions_attempts,opponent_third_down_conversions_conversions,opponent_fourth_down_conversions_attempts,opponent_fourth_down_conversions_conversions,opponent_red_zone_attempts,opponent_red_zone_scores,opponent_field_goals_attempts,opponent_field_goals_made,opponent_pat_kicking_attempts,opponent_pat_kicking_made,opponent_two_point_conversions_attempts,opponent_two_point_conversions_made
2009,Air Force,29.7,261.0,4.52,126.75,1149.0,4.99,12.83,24.35,43.19,32:27.31,0.4425,0.7105,0.8148000000000001,0.733,0.93,0.6667000000000001,13.0,386.0,203.0,47.0,11.0,815.0,3685.0,31.0,153.0,77.0,3.0,8.0,968.0,4834.0,24.0,308.0,1.0,37.0,901.0,1.0,53.0,2289.0,20.0,265.0,3.0,21.0,9.0,64.0,585.0,226.0,100.0,38.0,27.0,54.0,44.0,30.0,22.0,43.0,40.0,3.0,2.0,15.7,190.0,3.75,106.85,2006.0,4.73,8.61,19.23,43.64,27:32.69,0.3086,0.6087,0.7742,0.722,0.905,0.0,13.0,204.0,85.0,96.0,9.0,465.0,1742.0,12.0,328.0,189.0,20.0,10.0,793.0,3748.0,18.0,155.0,0.0,56.0,1077.0,1.0,66.0,2880.0,3.0,72.0,0.0,21.0,14.0,72.0,611.0,175.0,54.0,23.0,14.0,31.0,24.0,18.0,13.0,21.0,19.0,2.0,0.0
2010,Air Force,30.8,284.0,5.33,146.36,1551.0,6.04,9.65,22.87,41.83,30:30.08,0.5054,0.6,0.82,0.5379999999999999,0.941,0.25,13.0,401.0,213.0,62.0,9.0,748.0,3985.0,41.0,168.0,88.0,6.0,12.0,916.0,5536.0,17.0,164.0,0.0,39.0,892.0,1.0,40.0,1673.0,12.0,189.0,0.0,21.0,11.0,58.0,526.0,186.0,94.0,30.0,18.0,50.0,41.0,13.0,7.0,51.0,48.0,4.0,1.0,21.1,242.0,4.77,107.9,1921.0,5.22,3.75,20.52,38.78,29:29.92,0.4718,0.5455,0.8511,0.813,0.9690000000000001,0.0,13.0,274.0,135.0,97.0,10.0,549.0,2620.0,24.0,321.0,176.0,12.0,10.0,870.0,4541.0,12.0,45.0,0.0,58.0,1190.0,0.0,59.0,2288.0,6.0,23.0,0.0,24.0,10.0,56.0,453.0,195.0,92.0,22.0,12.0,47.0,40.0,16.0,13.0,32.0,31.0,2.0,0.0
2011,Air Force,34.9,301.0,5.66,153.31,1821.0,6.38,10.77,21.32,39.42,29:33.54,0.4696,0.8125,0.8689,0.833,0.9440000000000001,0.4,13.0,454.0,204.0,78.0,19.0,723.0,4092.0,43.0,204.0,123.0,8.0,16.0,927.0,5913.0,13.0,140.0,0.0,44.0,938.0,0.0,38.0,1498.0,12.0,67.0,0.0,30.0,18.0,61.0,562.0,181.0,85.0,32.0,26.0,61.0,53.0,18.0,15.0,54.0,51.0,5.0,2.0,28.4,273.0,4.96,136.37,2168.0,5.68,8.0,18.45,40.7,30:26.46,0.5027,0.6875,0.7707999999999999,0.5710000000000001,0.915,0.3333,13.0,369.0,155.0,105.0,13.0,576.0,2856.0,24.0,309.0,194.0,12.0,21.0,885.0,5024.0,11.0,88.0,0.0,65.0,1199.0,2.0,54.0,2198.0,8.0,90.0,1.0,25.0,14.0,85.0,742.0,183.0,92.0,16.0,11.0,48.0,37.0,14.0,8.0,47.0,43.0,3.0,1.0
2012,Air Force,27.4,290.0,5.11,138.25,1334.0,5.7,7.6,23.11,39.18,28:11.31,0.4868,0.5814,0.75,0.4,0.9790000000000001,1.0,13.0,356.0,224.0,50.0,16.0,804.0,4111.0,39.0,151.0,83.0,8.0,9.0,955.0,5445.0,10.0,76.0,0.0,38.0,878.0,0.0,40.0,1567.0,8.0,208.0,1.0,33.0,21.0,44.0,341.0,189.0,92.0,43.0,25.0,52.0,39.0,10.0,4.0,47.0,46.0,2.0,2.0,29.0,271.0,4.49,148.61,2738.0,5.8,6.56,20.74,43.89,31:48.69,0.47450000000000003,0.5667,0.8679000000000001,0.737,0.953,0.6,13.0,377.0,132.0,131.0,8.0,575.0,2584.0,27.0,343.0,233.0,8.0,19.0,918.0,5322.0,9.0,59.0,0.0,35.0,726.0,0.0,46.0,2019.0,8.0,62.0,0.0,19.0,8.0,63.0,492.0,196.0,93.0,30.0,17.0,53.0,46.0,19.0,14.0,43.0,41.0,5.0,3.0
2013,Air Force,24.7,230.0,4.95,124.8,1259.0,5.44,3.29,23.71,38.67,27:34.08,0.44189999999999996,0.5926,0.9459000000000001,0.846,0.972,0.0,12.0,296.0,162.0,55.0,13.0,637.0,3152.0,30.0,174.0,93.0,4.0,8.0,811.0,4411.0,7.0,23.0,0.0,28.0,664.0,0.0,49.0,1895.0,4.0,38.0,0.0,19.0,9.0,53.0,435.0,172.0,76.0,27.0,16.0,37.0,35.0,13.0,11.0,36.0,35.0,2.0,0.0,40.0,330.0,5.08,170.67,2876.0,6.41,3.89,19.18,43.0,32:25.92,0.589,0.5789,0.8772,0.5,0.902,0.6667000000000001,12.0,480.0,174.0,143.0,13.0,592.0,3007.0,41.0,326.0,237.0,4.0,26.0,918.0,5883.0,9.0,35.0,0.0,22.0,422.0,0.0,31.0,1333.0,4.0,18.0,0.0,15.0,5.0,58.0,438.0,163.0,96.0,19.0,11.0,57.0,50.0,10.0,5.0,61.0,55.0,6.0,4.0
2014,Air Force,31.5,287.0,4.46,154.14,1893.0,5.43,5.07,20.85,43.64,31:32.85,0.46950000000000003,0.7143,0.9,0.8640000000000001,0.9790000000000001,0.6667000000000001,13.0,409.0,198.0,74.0,15.0,796.0,3550.0,34.0,206.0,117.0,4.0,15.0,1002.0,5443.0,14.0,71.0,0.0,34.0,709.0,0.0,61.0,2662.0,10.0,72.0,0.0,20.0,13.0,46.0,460.0,213.0,100.0,28.0,20.0,60.0,54.0,22.0,19.0,47.0,46.0,3.0,2.0,24.2,249.0,3.82,130.85,3368.0,5.73,7.31,20.69,39.85,28:27.15,0.366,0.45159999999999995,0.8095,0.737,0.9740000000000001,,13.0,314.0,91.0,144.0,14.0,461.0,1763.0,17.0,434.0,239.0,10.0,20.0,895.0,5131.0,13.0,95.0,0.0,36.0,745.0,0.0,68.0,2710.0,4.0,110.0,1.0,14.0,8.0,59.0,535.0,194.0,71.0,31.0,14.0,42.0,34.0,19.0,14.0,39.0,38.0,0.0,0.0
2015,Air Force,33.8,301.0,5.47,157.45,1847.0,6.4,9.27,20.91,38.6,32:20.64,0.433,0.6087,0.8364,0.813,0.9670000000000001,1.0,14.0,473.0,219.0,66.0,16.0,817.0,4472.0,45.0,170.0,87.0,12.0,15.0,987.0,6319.0,15.0,139.0,1.0,32.0,669.0,0.0,60.0,2316.0,11.0,92.0,1.0,23.0,11.0,53.0,536.0,194.0,84.0,23.0,14.0,55.0,46.0,16.0,13.0,60.0,58.0,2.0,2.0,25.5,230.0,4.19,130.76,2942.0,5.71,7.0,24.26,44.63,27:39.36,0.3668,0.55,0.8158,0.75,0.955,0.0,14.0,357.0,90.0,123.0,17.0,483.0,2026.0,20.0,387.0,205.0,11.0,23.0,870.0,4968.0,14.0,98.0,0.0,34.0,825.0,1.0,79.0,3526.0,12.0,96.0,0.0,11.0,7.0,77.0,587.0,199.0,73.0,20.0,11.0,38.0,31.0,20.0,15.0,44.0,42.0,1.0,0.0
2016,Air Force,35.2,302.0,4.99,163.57,1752.0,6.02,11.0,25.4,41.1,34:03.38,0.5051,0.5333,0.8833,0.88,1.0,0.4,13.0,457.0,230.0,56.0,16.0,827.0,4126.0,39.0,150.0,68.0,8.0,14.0,977.0,5878.0,9.0,99.0,1.0,20.0,508.0,1.0,48.0,1973.0,15.0,145.0,1.0,22.0,9.0,67.0,681.0,196.0,99.0,15.0,8.0,60.0,53.0,25.0,22.0,51.0,51.0,5.0,2.0,26.2,229.0,3.4,135.95,3259.0,5.79,4.53,20.85,39.66,25:56.62,0.435,0.4211,0.8140000000000001,0.6920000000000001,0.9520000000000001,0.6667000000000001,13.0,341.0,78.0,127.0,24.0,436.0,1484.0,20.0,383.0,201.0,15.0,23.0,819.0,4743.0,19.0,86.0,0.0,39.0,813.0,0.0,65.0,2578.0,8.0,97.0,1.0,14.0,8.0,70.0,530.0,177.0,77.0,19.0,8.0,43.0,35.0,13.0,9.0,42.0,40.0,3.0,2.0
2017,Air Force,31.4,290.0,4.82,140.54,1321.0,5.52,8.3,17.46,42.15,33:27.58,0.488,0.64,0.875,0.769,0.978,0.25,12.0,377.0,219.0,52.0,19.0,765.0,3689.0,38.0,143.0,69.0,6.0,10.0,908.0,5010.0,10.0,83.0,0.0,26.0,454.0,0.0,41.0,1728.0,5.0,64.0,1.0,32.0,14.0,48.0,465.0,166.0,81.0,25.0,16.0,48.0,42.0,13.0,10.0,46.0,45.0,4.0,1.0,32.4,212.0,5.93,144.14,2053.0,6.81,13.56,17.63,41.0,26:32.42,0.4225,0.5556,0.8837,0.833,1.0,1.0,12.0,389.0,114.0,81.0,17.0,451.0,2674.0,31.0,243.0,135.0,5.0,16.0,694.0,4727.0,9.0,122.0,1.0,30.0,529.0,0.0,50.0,2050.0,6.0,73.0,0.0,13.0,5.0,50.0,457.0,142.0,60.0,9.0,5.0,43.0,38.0,18.0,15.0,48.0,48.0,1.0,1.0
2018,Air Force,30.3,264.0,4.76,147.85,1576.0,5.64,9.17,19.42,39.11,34:22.00,0.4142,0.6,0.9129999999999999,0.7140000000000001,0.976,0.6,12.0,363.0,185.0,62.0,17.0,714.0,3402.0,33.0,168.0,93.0,5.0,10.0,882.0,4978.0,12.0,110.0,1.0,12.0,233.0,0.0,44.0,1721.0,7.0,131.0,2.0,15.0,10.0,54.0,521.0,169.0,70.0,40.0,24.0,46.0,42.0,14.0,10.0,42.0,41.0,5.0,3.0,25.8,209.0,3.46,155.79,2928.0,5.92,15.27,17.19,42.96,25:38.00,0.4183,0.44439999999999996,0.8332999999999999,0.545,0.925,0.5,12.0,309.0,76.0,121.0,12.0,406.0,1403.0,17.0,326.0,200.0,7.0,23.0,732.0,4331.0,11.0,168.0,1.0,32.0,550.0,0.0,54.0,2320.0,5.0,8.0,0.0,12.0,7.0,71.0,617.0,153.0,64.0,18.0,8.0,30.0,25.0,11.0,6.0,40.0,37.0,2.0,1.0
